plot_id,loc_name,long_in_degrees,lat_in_degrees,start_date,end_date,climate_classification,depth_in_m,temp_degC_percentage_missing_values,no_of_data,net_no_of_data,daily_a_mean,daily_gm_mean,daily_median,daily_ninetieth_perc,weekly_a_mean,weekly_gm_mean,weekly_median,weekly_ninetieth_perc,biweekly_a_mean,biweekly_gm_mean,biweekly_median,biweekly_ninetieth_perc,monthly_a_mean,monthly_gm_mean,monthly_median,monthly_ninetieth_perc,annual_a_mean,annual_gm_mean,annual_median,annual_ninetieth_perc,contributor,database,study,spatial_blocks,duration_in_years
157,Australia,150.8534,-21.028,3/16/2016 0:00,3/6/2018 13:50,Subtropical,2.5,2.209822289,103764,101471,4.85E-08,4.43E-08,4.54E-08,7.63E-08,8.91E-08,8.52E-08,8.54E-08,1.30E-07,1.09E-07,1.05E-07,1.04E-07,1.53E-07,1.09E-07,1.05E-07,1.04E-07,1.53E-07,1.09E-07,1.05E-07,1.04E-07,1.53E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_30,1.974181887
159,Australia,150.8538,-21.0266,12/8/2013 0:05,3/6/2018 0:00,Subtropical,7,3.600141851,222769,214749,3.20E-08,2.91E-08,2.99E-08,4.95E-08,6.27E-08,5.95E-08,5.88E-08,9.13E-08,8.37E-08,8.00E-08,8.02E-08,1.15E-07,8.37E-08,8.00E-08,8.02E-08,1.15E-07,8.37E-08,8.00E-08,8.02E-08,1.15E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_30,4.243826104
160,Australia,151.4654,-21.4552,3/11/2016 14:00,9/14/2019 0:00,Subtropical,2.6,4.860046064,184525,175557,5.14E-08,4.74E-08,4.73E-08,7.84E-08,9.72E-08,9.23E-08,9.04E-08,1.36E-07,1.25E-07,1.21E-07,1.23E-07,1.68E-07,1.25E-07,1.21E-07,1.23E-07,1.68E-07,1.25E-07,1.21E-07,1.23E-07,1.68E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_30,3.510730594
162,Australia,151.4654,-21.4547,12/7/2013 0:09,9/16/2019 0:00,Subtropical,8,1.549876122,303121,298423,3.13E-08,2.94E-08,2.95E-08,4.61E-08,6.03E-08,5.83E-08,5.87E-08,8.42E-08,7.89E-08,7.64E-08,7.78E-08,1.02E-07,7.89E-08,7.64E-08,7.78E-08,1.02E-07,7.89E-08,7.64E-08,7.78E-08,1.02E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_30,5.778065068
164,Australia,151.6414,-21.4072,3/11/2016 0:04,9/14/2019 0:00,Subtropical,1.5,11.66985856,184321,162811,4.32E-08,4.02E-08,4.12E-08,6.39E-08,7.70E-08,7.44E-08,7.45E-08,1.09E-07,9.56E-08,9.28E-08,9.46E-08,1.23E-07,9.56E-08,9.28E-08,9.46E-08,1.23E-07,9.56E-08,9.28E-08,9.46E-08,1.23E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_22,3.512321157
166,Australia,151.6384,-21.4054,3/11/2016 0:00,9/14/2019 0:00,Subtropical,8,7.899939873,184609,170025,3.35E-08,3.16E-08,3.23E-08,4.95E-08,5.98E-08,5.72E-08,5.80E-08,8.16E-08,7.77E-08,7.53E-08,7.85E-08,9.99E-08,7.77E-08,7.53E-08,7.85E-08,9.99E-08,7.77E-08,7.53E-08,7.85E-08,9.99E-08,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_22,3.512328767
168,Australia,152.4465,-21.2965,11/20/2011 14:00,11/30/2013 13:50,Subtropical,7.8,0.800344879,106704,105850,2.41E-08,2.25E-08,2.24E-08,3.60E-08,5.29E-08,5.03E-08,4.98E-08,7.88E-08,7.24E-08,6.95E-08,6.88E-08,1.01E-07,7.24E-08,6.95E-08,6.88E-08,1.01E-07,7.24E-08,6.95E-08,6.88E-08,1.01E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_22,2.03011796
169,Australia,152.5502,-21.1085,11/20/2011 0:02,1/4/2016 23:57,Subtropical,8.3,5.569850229,216864,204785,2.77E-08,2.46E-08,2.62E-08,4.48E-08,5.46E-08,5.24E-08,5.27E-08,7.69E-08,7.16E-08,6.94E-08,6.99E-08,9.32E-08,7.16E-08,6.94E-08,6.99E-08,9.32E-08,7.16E-08,6.94E-08,6.99E-08,9.32E-08,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_22,4.12875761
171,Australia,152.3069,-21.9471,9/3/2013 0:03,1/12/2020 0:00,Subtropical,1.7,6.209908435,334079,313333,6.89E-08,6.33E-08,6.52E-08,1.07E-07,1.18E-07,1.15E-07,1.14E-07,1.56E-07,1.42E-07,1.38E-07,1.39E-07,1.80E-07,1.42E-07,1.38E-07,1.39E-07,1.80E-07,1.42E-07,1.38E-07,1.39E-07,1.80E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_22,6.361638128
172,Australia,152.3168,-21.9612,1/16/2016 14:10,1/12/2020 13:50,Subtropical,9,3.589966016,209807,202275,2.08E-08,1.97E-08,1.98E-08,3.00E-08,4.31E-08,4.13E-08,4.13E-08,6.14E-08,5.86E-08,5.60E-08,5.50E-08,8.20E-08,5.86E-08,5.60E-08,5.50E-08,8.20E-08,5.86E-08,5.60E-08,5.50E-08,8.20E-08,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_22,3.99174277
173,Australia,150.3807,-21.0266,1/21/2012 0:01,9/20/2019 13:50,Subtropical,9,25.89007762,403139,298766,2.08E-08,1.94E-08,1.96E-08,3.06E-08,4.55E-08,4.24E-08,4.20E-08,6.52E-08,6.46E-08,6.00E-08,6.07E-08,9.23E-08,6.46E-08,6.00E-08,6.07E-08,9.23E-08,6.46E-08,6.00E-08,6.07E-08,9.23E-08,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_30,7.670070396
174,Australia,145.8652,-16.0398,12/2/2015 0:00,2/8/2020 0:00,Tropical,2,3.236862635,78193,75662,6.04E-08,5.01E-08,5.05E-08,1.10E-07,1.10E-07,1.01E-07,1.00E-07,1.71E-07,1.40E-07,1.33E-07,1.31E-07,2.00E-07,1.40E-07,1.33E-07,1.31E-07,2.00E-07,1.40E-07,1.33E-07,1.31E-07,2.00E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_35,4.189041096
175,Australia,145.8688,-16.0384,2/10/2012 0:03,4/28/2012 15:53,Tropical,10.2,3.439959669,220177,212603,2.91E-08,2.19E-08,1.93E-08,6.33E-08,6.06E-08,5.09E-08,4.68E-08,1.12E-07,8.21E-08,7.17E-08,6.95E-08,1.40E-07,8.21E-08,7.17E-08,6.95E-08,1.40E-07,8.21E-08,7.17E-08,6.95E-08,1.40E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_35,0.215506088
176,Australia,115.4534,-20.5301,2/10/2012 0:03,4/28/2012 15:53,Subtropical,7.7,5.022951977,11328,10759,4.33E-08,3.91E-08,3.65E-08,7.05E-08,9.51E-08,8.94E-08,9.20E-08,1.28E-07,1.41E-07,1.38E-07,1.34E-07,1.81E-07,1.41E-07,1.38E-07,1.34E-07,1.81E-07,1.41E-07,1.38E-07,1.34E-07,1.81E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_37,0.215506088
177,Australia,159.0684,-31.5623,2/28/2009 0:04,4/7/2013 23:55,Subtropical,8.3,1.670194593,215424,211826,2.09E-08,1.87E-08,1.83E-08,3.44E-08,5.71E-08,5.27E-08,5.10E-08,8.96E-08,7.77E-08,7.21E-08,7.10E-08,1.17E-07,7.77E-08,7.21E-08,7.10E-08,1.17E-07,7.77E-08,7.21E-08,7.10E-08,1.17E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_12,4.109686073
178,Australia,146.0871,-16.6891,3/28/1996 0:00,11/15/2008 13:30,Tropical,2.5,20.59012043,221548,175931,6.06E-08,5.54E-08,5.62E-08,9.57E-08,1.25E-07,1.19E-07,1.18E-07,1.77E-07,1.61E-07,1.54E-07,1.54E-07,2.23E-07,1.61E-07,1.54E-07,1.54E-07,2.23E-07,1.61E-07,1.54E-07,1.54E-07,2.23E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_35,12.64526256
179,Australia,146.1107,-16.6461,3/28/1996 0:00,11/15/2008 13:30,Tropical,7.2,21.21004216,221546,174556,5.02E-08,4.47E-08,4.51E-08,8.47E-08,1.08E-07,1.03E-07,1.04E-07,1.54E-07,1.41E-07,1.35E-07,1.35E-07,1.95E-07,1.41E-07,1.35E-07,1.35E-07,1.95E-07,1.41E-07,1.35E-07,1.35E-07,1.95E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_35,12.64526256
181,Australia,123.0423,-12.1991,11/6/2008 0:00,4/16/2009 15:30,Tropical,3,2.628865979,7760,7556,1.23E-07,1.13E-07,1.18E-07,1.90E-07,2.00E-07,1.93E-07,1.97E-07,2.65E-07,2.52E-07,2.46E-07,2.54E-07,3.08E-07,2.52E-07,2.46E-07,2.54E-07,3.08E-07,2.52E-07,2.46E-07,2.54E-07,3.08E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_39,0.442979452
182,Australia,122.9996,-12.2245,11/6/2008 0:08,7/13/2010 15:58,Tropical,5.1,7.280368764,88512,82068,8.08E-08,7.34E-08,7.54E-08,1.30E-07,1.42E-07,1.35E-07,1.40E-07,1.93E-07,1.82E-07,1.77E-07,1.71E-07,2.34E-07,1.82E-07,1.77E-07,1.71E-07,2.34E-07,1.82E-07,1.77E-07,1.71E-07,2.34E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_39,1.684113394
183,Australia,122.969,-12.2247,7/15/2010 0:02,3/3/2011 15:52,Tropical,5.1,6.558752998,33360,31172,7.73E-08,6.96E-08,7.15E-08,1.30E-07,1.53E-07,1.46E-07,1.57E-07,1.97E-07,1.86E-07,1.80E-07,1.71E-07,2.34E-07,1.86E-07,1.80E-07,1.71E-07,2.34E-07,1.86E-07,1.80E-07,1.71E-07,2.34E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_39,0.63468417
184,Australia,122.9898,-12.2396,7/15/2010 0:08,9/9/2011 23:58,Tropical,4.7,3.380068457,60768,58714,1.61E-07,1.54E-07,1.59E-07,2.17E-07,2.66E-07,2.62E-07,2.73E-07,3.14E-07,3.09E-07,3.06E-07,2.94E-07,3.68E-07,3.09E-07,3.06E-07,2.94E-07,3.68E-07,3.09E-07,3.06E-07,2.94E-07,3.68E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_39,1.156145358
185,Australia,136.8196,-12.0742,5/12/2018 14:40,12/10/2019 0:00,Tropical,4.5,1.660220961,83001,81623,7.11E-08,6.42E-08,5.96E-08,1.22E-07,1.22E-07,1.14E-07,1.12E-07,1.96E-07,1.55E-07,1.46E-07,1.47E-07,2.31E-07,1.55E-07,1.46E-07,1.47E-07,2.31E-07,1.55E-07,1.46E-07,1.47E-07,2.31E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_41,1.579147641
186,Australia,96.8174,-11.8297,4/6/2002 0:30,5/31/2008 23:22,Tropical,10,49.23079775,53952,27391,2.93E-08,2.89E-08,2.80E-08,4.96E-08,5.71E-08,5.32E-08,5.31E-08,8.47E-08,7.44E-08,6.95E-08,6.87E-08,1.15E-07,7.44E-08,6.95E-08,6.87E-08,1.15E-07,7.44E-08,6.95E-08,6.87E-08,1.15E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_32,6.158774734
187,Australia,136.8911,-12.4161,4/28/2018 0:00,8/31/2019 14:20,Tropical,2.9,2.779838929,55255,53719,8.66E-08,7.70E-08,7.90E-08,1.39E-07,1.54E-07,1.44E-07,1.49E-07,2.28E-07,1.90E-07,1.80E-07,1.86E-07,2.53E-07,1.90E-07,1.80E-07,1.86E-07,2.53E-07,1.90E-07,1.80E-07,1.86E-07,2.53E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_41,1.344101979
188,Australia,151.0707,-23.1578,5/10/2011 14:09,4/30/2020 0:00,Subtropical,4.2,56.22992364,471948,206572,3.12E-08,2.83E-08,2.88E-08,4.90E-08,6.48E-08,5.95E-08,6.16E-08,9.94E-08,8.79E-08,8.01E-08,8.44E-08,1.36E-07,8.79E-08,8.01E-08,8.44E-08,1.36E-07,8.79E-08,8.01E-08,8.44E-08,1.36E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_22,8.979206621
189,Australia,115.5136,-21.0774,11/17/2010 0:05,4/29/2012 23:58,Subtropical,3.2,42.20985901,76032,43939,8.64E-08,7.80E-08,7.76E-08,1.44E-07,1.71E-07,1.61E-07,1.67E-07,2.50E-07,2.23E-07,2.16E-07,2.17E-07,2.73E-07,2.23E-07,2.16E-07,2.17E-07,2.73E-07,2.23E-07,2.16E-07,2.17E-07,2.73E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_37,1.452041476
190,Australia,115.4654,-20.9599,2/12/2011 16:02,9/19/2011 15:52,Subtropical,3.8,13.41007103,31536,27307,5.79E-08,5.31E-08,5.23E-08,9.74E-08,1.14E-07,1.04E-07,9.98E-08,1.83E-07,1.52E-07,1.40E-07,1.37E-07,2.29E-07,1.52E-07,1.40E-07,1.37E-07,2.29E-07,1.52E-07,1.40E-07,1.37E-07,2.29E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_37,0.599980974
191,Australia,150.6576,-2.7426,8/5/2011 0:00,2/17/2012 0:00,Tropical,10,0.924646615,9409,9322,2.72E-08,2.29E-08,2.29E-08,5.05E-08,6.14E-08,5.90E-08,5.59E-08,9.56E-08,7.27E-08,7.35E-08,7.06E-08,1.10E-07,7.27E-08,7.35E-08,7.06E-08,1.10E-07,7.27E-08,7.35E-08,7.06E-08,1.10E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_43,0.536986301
192,Australia,115.7061,-32.3723,5/16/2012 0:00,12/21/2016 0:00,Subtropical,3,41.29041059,80641,47344,3.76E-08,3.28E-08,3.53E-08,6.24E-08,8.12E-08,7.14E-08,7.56E-08,1.33E-07,1.01E-07,8.97E-08,9.55E-08,1.71E-07,1.01E-07,8.97E-08,9.55E-08,1.71E-07,1.01E-07,8.97E-08,9.55E-08,1.71E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_45,4.602739726
193,Australia,136.2736,-13.7543,6/21/2018 0:00,10/6/2019 0:00,Tropical,2,5.84972561,67969,63993,8.18E-08,7.14E-08,7.12E-08,1.34E-07,1.51E-07,1.39E-07,1.41E-07,2.23E-07,2.05E-07,1.90E-07,1.89E-07,2.95E-07,2.05E-07,1.90E-07,1.89E-07,2.95E-07,2.05E-07,1.90E-07,1.89E-07,2.95E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_41,1.293150685
195,Australia,145.4872,-16.2445,3/31/1996 0:00,3/12/2007 13:30,Tropical,0.1,22.60019173,191932,148555,5.50E-08,4.81E-08,4.90E-08,9.32E-08,1.24E-07,1.14E-07,1.16E-07,1.93E-07,1.62E-07,1.52E-07,1.54E-07,2.39E-07,1.62E-07,1.52E-07,1.54E-07,2.39E-07,1.62E-07,1.52E-07,1.54E-07,2.39E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_35,10.95496575
196,Australia,136.5806,-12.084,4/28/2018 0:00,12/10/2019 0:00,Tropical,3.2,7.819752071,85105,78450,6.60E-08,6.07E-08,6.06E-08,1.03E-07,1.32E-07,1.23E-07,1.24E-07,2.02E-07,1.77E-07,1.64E-07,1.57E-07,2.81E-07,1.77E-07,1.64E-07,1.57E-07,2.81E-07,1.77E-07,1.64E-07,1.57E-07,2.81E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_41,1.619178082
197,Australia,141.9113,-10.6031,12/17/2012 0:00,12/4/2017 0:00,Tropical,1.9,65.40009882,261073,90331,1.47E-07,1.23E-07,1.19E-07,2.78E-07,2.58E-07,2.37E-07,2.70E-07,3.93E-07,3.20E-07,2.97E-07,3.48E-07,4.42E-07,3.20E-07,2.97E-07,3.48E-07,4.42E-07,3.20E-07,2.97E-07,3.48E-07,4.42E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_47,4.967123288
198,Australia,149.0319,-20.171,4/20/2013 14:03,3/2/2017 0:00,Subtropical,1.6,6.150212797,203245,190745,6.49E-08,5.66E-08,5.71E-08,1.09E-07,1.22E-07,1.14E-07,1.15E-07,1.65E-07,1.61E-07,1.54E-07,1.49E-07,2.17E-07,1.61E-07,1.54E-07,1.49E-07,2.17E-07,1.61E-07,1.54E-07,1.49E-07,2.17E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_51,3.866889269
199,Australia,149.0377,-20.1819,3/24/2011 13:59,3/2/2017 0:00,Subtropical,9.3,3.059888539,312397,302838,1.75E-08,1.63E-08,1.64E-08,2.64E-08,4.31E-08,4.07E-08,4.11E-08,6.29E-08,6.34E-08,6.00E-08,6.13E-08,9.33E-08,6.34E-08,6.00E-08,6.13E-08,9.33E-08,6.34E-08,6.00E-08,6.13E-08,9.33E-08,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_51,5.943609209
200,Australia,152.2725,-23.747,9/13/2013 14:05,1/6/2020 13:50,Subtropical,1.3,2.07008911,332063,325189,1.44E-07,1.27E-07,1.34E-07,2.38E-07,2.54E-07,2.43E-07,2.44E-07,3.45E-07,3.08E-07,2.99E-07,3.06E-07,4.02E-07,3.08E-07,2.99E-07,3.06E-07,4.02E-07,3.08E-07,2.99E-07,3.06E-07,4.02E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_20,6.31777968
201,Australia,152.2747,-23.7452,9/13/2013 14:06,1/6/2020 13:50,Subtropical,7,2.840115159,332064,322633,4.34E-08,3.78E-08,3.75E-08,7.53E-08,8.61E-08,8.00E-08,8.35E-08,1.30E-07,1.09E-07,1.04E-07,1.08E-07,1.57E-07,1.09E-07,1.04E-07,1.08E-07,1.57E-07,1.09E-07,1.04E-07,1.08E-07,1.57E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_20,6.317777778
202,Australia,143.8767,-9.4732,12/14/2011 0:00,11/3/2020 0:00,Tropical,3,57.21997301,467571,200027,8.98E-08,6.96E-08,8.34E-08,1.63E-07,1.64E-07,1.38E-07,1.70E-07,2.65E-07,2.03E-07,1.77E-07,1.99E-07,3.10E-07,2.03E-07,1.77E-07,1.99E-07,3.10E-07,2.03E-07,1.77E-07,1.99E-07,3.10E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_49,8.895890411
204,Australia,143.8767,-9.1395,12/14/2011 0:02,11/3/2020 0:00,Tropical,5.1,56.91994123,467569,201429,9.41E-08,8.37E-08,8.49E-08,1.57E-07,1.69E-07,1.58E-07,1.61E-07,2.45E-07,2.06E-07,1.96E-07,2.00E-07,2.86E-07,2.06E-07,1.96E-07,2.00E-07,2.86E-07,2.06E-07,1.96E-07,2.00E-07,2.86E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_49,8.895886606
205,Australia,115.5829,-20.6295,11/16/2010 0:07,2/3/2012 23:57,Subtropical,9,35.9593969,63936,40945,3.94E-08,3.49E-08,3.64E-08,6.41E-08,7.86E-08,7.39E-08,7.95E-08,1.03E-07,9.98E-08,9.31E-08,9.14E-08,1.32E-07,9.98E-08,9.31E-08,9.14E-08,1.32E-07,9.98E-08,9.31E-08,9.14E-08,1.32E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_37,1.219159056
206,Australia,114.1602,-21.8632,2/9/2018 0:00,2/24/2020 0:00,Subtropical,3,36.72970983,107281,67877,1.20E-07,1.07E-07,1.11E-07,1.95E-07,2.23E-07,2.07E-07,2.17E-07,3.22E-07,2.77E-07,2.61E-07,2.66E-07,4.03E-07,2.77E-07,2.61E-07,2.66E-07,4.03E-07,2.77E-07,2.61E-07,2.66E-07,4.03E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_33,2.04109589
207,Australia,152.4503,-24.7989,8/31/2001 0:00,9/4/2002 0:00,Subtropical,4,0.937270623,17711,17545,6.29E-08,4.49E-08,5.37E-08,1.27E-07,1.23E-07,1.04E-07,1.18E-07,2.18E-07,1.57E-07,1.39E-07,1.53E-07,2.64E-07,1.57E-07,1.39E-07,1.53E-07,2.64E-07,1.57E-07,1.39E-07,1.53E-07,2.64E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_20,1.010958904
208,Australia,152.4267,-24.7759,8/31/2001 0:00,9/4/2002 0:00,Subtropical,4,1.45091176,17713,17456,5.53E-08,4.81E-08,5.13E-08,9.43E-08,1.21E-07,1.06E-07,1.16E-07,1.97E-07,1.55E-07,1.38E-07,1.46E-07,2.69E-07,1.55E-07,1.38E-07,1.46E-07,2.69E-07,1.55E-07,1.38E-07,1.46E-07,2.69E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_20,1.010958904
210,Australia,96.8435,-12.0969,1/11/2006 17:30,1/4/2007 23:30,Tropical,3,0,8599,8599,6.87E-08,6.33E-08,7.11E-08,9.71E-08,1.11E-07,1.08E-07,1.14E-07,1.42E-07,1.33E-07,1.31E-07,1.30E-07,1.68E-07,1.33E-07,1.31E-07,1.30E-07,1.68E-07,1.33E-07,1.31E-07,1.30E-07,1.68E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_32,0.981506849
211,Australia,96.8433,-12.0947,2/28/2006 0:30,1/4/2007 23:30,Tropical,10,0,7464,7464,3.64E-08,3.54E-08,3.08E-08,6.08E-08,7.02E-08,6.73E-08,7.23E-08,9.84E-08,8.87E-08,8.55E-08,7.62E-08,1.25E-07,8.87E-08,8.55E-08,7.62E-08,1.25E-07,8.87E-08,8.55E-08,7.62E-08,1.25E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_32,0.851940639
212,Australia,147.9052,-19.8508,5/5/2016 0:00,10/13/2019 0:00,Tropical,2,7.05996185,180865,168096,4.19E-08,3.89E-08,4.04E-08,6.15E-08,1.02E-07,9.48E-08,9.28E-08,1.53E-07,1.42E-07,1.33E-07,1.33E-07,2.06E-07,1.42E-07,1.33E-07,1.33E-07,2.06E-07,1.42E-07,1.33E-07,1.33E-07,2.06E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_51,3.44109589
214,Australia,123.5797,-12.5267,10/28/2008 0:00,4/12/2010 0:00,Tropical,1,0.61987524,25489,25331,8.67E-08,7.80E-08,8.22E-08,1.39E-07,1.52E-07,1.43E-07,1.53E-07,2.16E-07,1.84E-07,1.73E-07,1.92E-07,2.64E-07,1.84E-07,1.73E-07,1.92E-07,2.64E-07,1.84E-07,1.73E-07,1.92E-07,2.64E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_39,1.454908676
215,Australia,123.5741,-12.5258,10/28/2008 0:00,4/12/2010 0:00,Tropical,2,1.561457884,25489,25091,7.41E-08,5.99E-08,6.20E-08,1.42E-07,1.31E-07,1.14E-07,1.32E-07,2.16E-07,1.62E-07,1.43E-07,1.78E-07,2.55E-07,1.62E-07,1.43E-07,1.78E-07,2.55E-07,1.62E-07,1.43E-07,1.78E-07,2.55E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_39,1.454908676
216,Australia,123.5565,-12.5242,11/6/2008 0:06,4/12/2010 15:56,Tropical,8.5,1.550542092,75264,74097,5.80E-08,4.97E-08,5.06E-08,9.88E-08,1.08E-07,9.91E-08,1.01E-07,1.68E-07,1.34E-07,1.24E-07,1.28E-07,1.84E-07,1.34E-07,1.24E-07,1.28E-07,1.84E-07,1.34E-07,1.24E-07,1.28E-07,1.84E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_39,1.4320586
217,Australia,145.5817,-14.5238,9/4/2016 0:00,12/11/2018 0:00,Tropical,8,1.440037573,119233,117516,2.44E-08,1.87E-08,1.75E-08,5.29E-08,5.37E-08,4.56E-08,4.58E-08,1.09E-07,7.63E-08,6.69E-08,6.91E-08,1.25E-07,7.63E-08,6.69E-08,6.91E-08,1.25E-07,7.63E-08,6.69E-08,6.91E-08,1.25E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_35,2.268493151
218,Australia,146.482,-18.5691,2/12/1993 0:00,9/15/1995 0:00,Tropical,0,40.1909129,45361,27130,1.15E-07,1.03E-07,1.04E-07,1.94E-07,1.97E-07,1.91E-07,1.82E-07,2.77E-07,2.42E-07,2.36E-07,2.33E-07,3.18E-07,2.42E-07,2.36E-07,2.33E-07,3.18E-07,2.42E-07,2.36E-07,2.33E-07,3.18E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_51,2.589041096
219,Australia,146.4833,-18.5719,2/12/1993 0:00,6/18/2009 14:00,Tropical,4,8.160117799,286589,263203,1.09E-07,9.71E-08,9.99E-08,1.76E-07,1.94E-07,1.83E-07,1.82E-07,2.81E-07,2.43E-07,2.33E-07,2.32E-07,3.39E-07,2.43E-07,2.33E-07,2.32E-07,3.39E-07,2.43E-07,2.33E-07,2.32E-07,3.39E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_51,16.35776256
220,Australia,146.4817,-18.5783,2/12/1993 0:00,9/15/1995 0:00,Tropical,0,23.87072595,45361,34533,1.19E-07,1.01E-07,1.03E-07,2.11E-07,2.25E-07,2.11E-07,2.06E-07,3.55E-07,2.92E-07,2.81E-07,2.67E-07,4.13E-07,2.92E-07,2.81E-07,2.67E-07,4.13E-07,2.92E-07,2.81E-07,2.67E-07,4.13E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_51,2.589041096
221,Australia,146.4823,-18.5691,8/3/2008 14:00,6/17/2009 13:30,Tropical,3,0.773060797,15264,15146,4.75E-08,4.09E-08,4.11E-08,8.15E-08,9.41E-08,8.56E-08,8.36E-08,1.41E-07,1.20E-07,1.11E-07,1.15E-07,1.86E-07,1.20E-07,1.11E-07,1.15E-07,1.86E-07,1.20E-07,1.11E-07,1.15E-07,1.86E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_51,0.871175799
222,Australia,146.483,-18.5718,3/30/1993 14:30,6/18/2009 14:00,Tropical,7,29.18003038,284352,201378,3.66E-08,3.06E-08,3.00E-08,6.56E-08,8.00E-08,7.05E-08,7.20E-08,1.32E-07,1.09E-07,9.75E-08,1.02E-07,1.62E-07,1.09E-07,9.75E-08,1.02E-07,1.62E-07,1.09E-07,9.75E-08,1.02E-07,1.62E-07,NA,The Australian Institute of Marine Scien,The Australian Institute of Marine Scien,spatial_block_51,16.23007991
