"","X","plot_id","loc_name","long_in_degrees","lat_in_degrees","start_date","end_date","climate_classification","depth_in_m","temp_degC_percentage_missing_values","no_of_data","net_no_of_data","daily_a_mean","daily_gm_mean","daily_median","daily_ninetieth_perc","weekly_a_mean","weekly_gm_mean","weekly_median","weekly_ninetieth_perc","biweekly_a_mean","biweekly_gm_mean","biweekly_median","biweekly_ninetieth_perc","monthly_a_mean","monthly_gm_mean","monthly_median","monthly_ninetieth_perc","annual_a_mean","annual_gm_mean","annual_median","annual_ninetieth_perc","contributor","database","study","spatial_blocks","duration_in_years"
"161",161,181,"Australia",123.0423,-12.1991,"2008-11-06 00:00:00","2009-04-16 15:30:00","Tropical",3,2.62886597938144,7760,7556,1.19807005197368e-07,1.10304466388102e-07,1.133337865e-07,1.806837478e-07,2.03481413434783e-07,1.97615888782097e-07,2.01689054e-07,2.654118806e-07,2.58337279272727e-07,2.53079631348783e-07,2.78087756e-07,3.08696729e-07,3.164006334e-07,3.15996761115999e-07,3.12142722e-07,3.339993818e-07,NA,NA,NA,NA,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_39",0.442979452054794
"162",162,182,"Australia",122.9996,-12.2245,"2008-11-06 00:08:00","2010-07-13 15:58:00","Tropical",5.1,7.28036876355748,88512,82068,7.84050640275049e-08,7.0501214552374e-08,7.076951e-08,1.323504868e-07,1.41946710238636e-07,1.35363551519844e-07,1.404094765e-07,1.932035062e-07,1.81665620340909e-07,1.76730724012154e-07,1.712625355e-07,2.340349544e-07,2.383310402e-07,2.33898427544613e-07,2.40813457e-07,2.917302759e-07,5.19513408e-07,5.19513408e-07,5.19513408e-07,5.19513408e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_39",1.68411339421613
"163",163,183,"Australia",122.969,-12.2247,"2010-07-15 00:02:00","2011-03-03 15:52:00","Tropical",5.1,6.55875299760192,33360,31172,7.41417578172589e-08,6.66257044821035e-08,6.6869205e-08,1.246940448e-07,1.55620470242424e-07,1.49491598459192e-07,1.59340437e-07,1.97619896e-07,1.87308423e-07,1.81474976017645e-07,1.753652315e-07,2.369576575e-07,2.29702404285714e-07,2.27331840752078e-07,2.24056093e-07,2.700972474e-07,NA,NA,NA,NA,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_39",0.634684170471842
"164",164,184,"Australia",122.9898,-12.2396,"2010-07-15 00:08:00","2011-09-09 23:58:00","Tropical",4.7,3.38006845708268,60768,58714,1.59758559478049e-07,1.53475904797611e-07,1.56892256e-07,2.163200815e-07,2.65566783533333e-07,2.6209955679795e-07,2.71755129e-07,3.147034899e-07,3.10349112033333e-07,3.06650923056759e-07,2.978317555e-07,3.68323385e-07,3.54612600785714e-07,3.51957744785473e-07,3.48770039e-07,4.231583909e-07,7.86717142e-07,7.86717142e-07,7.86717142e-07,7.86717142e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_39",1.15614535768645
"165",165,185,"Australia",136.8196,-12.0742,"2018-05-12 14:40:00","2019-12-10 00:00:00","Tropical",4.5,1.66022096119324,83001,81623,6.97548313510638e-08,6.32549003481983e-08,5.9282879e-08,1.174644841e-07,1.22618000353659e-07,1.13892458560584e-07,1.137264515e-07,1.966094489e-07,1.56099596317073e-07,1.46511263479737e-07,1.48937694e-07,2.3106997e-07,2.02864079684211e-07,1.92864709868357e-07,2.00223277e-07,2.832759852e-07,5.42135729e-07,5.42135729e-07,5.42135729e-07,5.42135729e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_41",1.57914764079148
"166",166,186,"Australia",96.8174,-11.8297,"2002-04-06 00:30:00","2008-05-31 23:22:00","Tropical",10,49.2307977461447,53952,27391,2.93644021527656e-08,2.89825858147159e-08,2.8000801e-08,4.955434e-08,5.68510607578947e-08,5.2201775513706e-08,5.2193548e-08,8.5744124e-08,7.65404698958333e-08,7.05297767347712e-08,6.68623835e-08,1.216440277e-07,1.04976076227273e-07,9.81970654804083e-08,1.020430635e-07,1.486474678e-07,3.46609626e-07,3.46492971097314e-07,3.46609626e-07,3.53803126e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_32",6.15877473363775
"167",167,187,"Australia",136.8911,-12.4161,"2018-04-28 00:00:00","2019-08-31 14:20:00","Tropical",2.9,2.77983892860375,55255,53719,8.60030363629032e-08,7.66786165477508e-08,7.87856275e-08,1.384778384e-07,1.58119538660377e-07,1.49835268901792e-07,1.50649435e-07,2.28736396e-07,1.97451414076923e-07,1.90437666050703e-07,1.905554225e-07,2.561334245e-07,2.4582436225e-07,2.35103263515712e-07,2.613059935e-07,2.942345294e-07,6.35816085e-07,6.35816085e-07,6.35816085e-07,6.35816085e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_41",1.34410197869102
"168",168,188,"Australia",151.0707,-23.1578,"2011-05-10 14:09:00","2020-04-30 00:00:00","Subtropical",4.2,56.2299236356548,471948,206572,3.11459106821975e-08,2.8309053724698e-08,2.8820416e-08,4.89162923e-08,6.21348251538462e-08,5.69923604679187e-08,6.328653e-08,9.12957636e-08,8.34574049615385e-08,7.83463659563655e-08,8.58928115e-08,1.192593405e-07,1.24828371333333e-07,1.12631922481816e-07,1.235681715e-07,1.868403748e-07,5.70407779e-07,5.70407779e-07,5.70407779e-07,5.70407779e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_22",8.97920662100457
"169",169,189,"Australia",115.5136,-21.0774,"2010-11-17 00:05:00","2012-04-29 23:58:00","Subtropical",3.2,42.209859006734,76032,43939,9.20548203248945e-08,8.12439052088168e-08,8.1050081e-08,1.604842056e-07,1.63177807961538e-07,1.55292517761293e-07,1.49020841e-07,2.40915299e-07,2.18128455538462e-07,2.15180845903694e-07,2.11661343e-07,2.56356632e-07,3.25125051166667e-07,3.14820117327962e-07,2.803991775e-07,4.447203535e-07,NA,NA,NA,NA,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_37",1.45204147640791
"170",170,190,"Australia",115.4654,-20.9599,"2011-02-12 16:02:00","2011-09-19 15:52:00","Subtropical",3.8,13.410071029934,31536,27307,6.50045338723404e-08,5.78214772347558e-08,5.7268097e-08,1.14548503e-07,1.14773420516129e-07,1.0425236821516e-07,1.02670329e-07,1.84513832e-07,1.56920432533333e-07,1.44490597074061e-07,1.37463263e-07,2.318636094e-07,2.14195822714286e-07,1.92356042120257e-07,1.45338551e-07,3.340314196e-07,NA,NA,NA,NA,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_37",0.59998097412481
"171",171,191,"Australia",150.6576,-2.7426,"2011-08-05 00:00:00","2012-02-17 00:00:00","Tropical",10,0.92464661494314,9409,9322,2.73278627010309e-08,2.28743367083161e-08,2.2882733e-08,5.06623349e-08,6.35994359642857e-08,5.90277385713739e-08,5.6415374e-08,9.57396665e-08,7.78879355e-08,7.35231975840121e-08,7.12683465e-08,1.117516775e-07,1.036579905e-07,9.93838367292993e-08,1.132504885e-07,1.31050348e-07,NA,NA,NA,NA,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_43",0.536986301369863
"172",172,192,"Australia",115.7061,-32.3723,"2012-05-16 00:00:00","2016-12-21 00:00:00","Subtropical",3,41.2904105851862,80641,47344,4.24318230565553e-08,3.70185165024479e-08,3.74530365e-08,7.13526605e-08,8.78897701142857e-08,8.27210153924041e-08,7.7707669e-08,1.299429712e-07,1.13341873588235e-07,1.07313585133137e-07,1.10524991e-07,1.741425778e-07,1.35776703333333e-07,1.23179731152644e-07,1.24033558e-07,2.055079778e-07,NA,NA,NA,NA,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_45",4.6027397260274
"173",173,193,"Australia",136.2736,-13.7543,"2018-06-21 00:00:00","2019-10-06 00:00:00","Tropical",2,5.84972561020465,67969,63993,7.78537300243902e-08,6.80414162538124e-08,6.66546735e-08,1.255301812e-07,1.50288086257576e-07,1.37702746725242e-07,1.367595215e-07,2.24342501e-07,2.04202022575758e-07,1.89477872725331e-07,1.87497836e-07,2.965935794e-07,2.84220611066667e-07,2.68466770730005e-07,2.81911477e-07,3.806254832e-07,8.89363475e-07,8.89363475e-07,8.89363475e-07,8.89363475e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_41",1.29315068493151
"174",174,195,"Australia",145.4872,-16.2445,"1996-03-31 00:00:00","2007-03-12 13:30:00","Tropical",0.1,22.6001917345727,191932,148555,5.46301885364975e-08,4.76424981233416e-08,4.831027e-08,9.2300937e-08,1.22916251700389e-07,1.13106934489369e-07,1.12828302e-07,1.852599192e-07,1.6177866196875e-07,1.49493896878864e-07,1.48128044e-07,2.346914252e-07,2.23593064508197e-07,2.07355646818707e-07,2.09257943e-07,3.14201848e-07,6.63631745833333e-07,6.60636735194117e-07,6.66883461e-07,7.25154499e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_35",10.9549657534247
"175",175,196,"Australia",136.5806,-12.084,"2018-04-28 00:00:00","2019-12-10 00:00:00","Tropical",3.2,7.81975207097115,85105,78450,6.5561534434322e-08,5.91591111285058e-08,5.63545615e-08,1.116753212e-07,1.32179149892857e-07,1.22865939128581e-07,1.225848565e-07,2.025917724e-07,1.77864974666667e-07,1.64323797825193e-07,1.59681457e-07,2.831351486e-07,2.39801172842105e-07,2.24234266969205e-07,2.49379181e-07,3.297539254e-07,6.246317e-07,6.246317e-07,6.246317e-07,6.246317e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_41",1.61917808219178
"176",176,197,"Australia",141.9113,-10.6031,"2012-12-17 00:00:00","2017-12-04 00:00:00","Tropical",1.9,65.4000988229346,261073,90331,1.43196184671769e-07,1.18075507983535e-07,1.080280125e-07,2.789596529e-07,1.98602584863636e-07,1.8138417654019e-07,1.76144466e-07,3.081753108e-07,2.72534381181818e-07,2.56899557185989e-07,2.38129848e-07,4.04821886e-07,3.763794586e-07,3.6827972221141e-07,4.04821886e-07,4.531655234e-07,NA,NA,NA,NA,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_47",4.96712328767123
"177",177,198,"Australia",149.0319,-20.171,"2013-04-20 14:03:00","2017-03-02 00:00:00","Subtropical",1.6,6.15021279736279,203245,190745,6.33965900772358e-08,5.48334055435712e-08,5.51432715e-08,1.089852688e-07,1.22405826394872e-07,1.14670787538542e-07,1.15211333e-07,1.653673674e-07,1.62320042908163e-07,1.54772304835701e-07,1.492649945e-07,2.36506376e-07,2.13141915521739e-07,2.05315449177133e-07,2.01067601e-07,2.968722145e-07,5.77807459e-07,5.77674888849017e-07,5.74989008e-07,5.90367864e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_51",3.86688926940639
"178",178,199,"Australia",149.0377,-20.1819,"2011-03-24 13:59:00","2017-03-02 00:00:00","Subtropical",9.3,3.05988853926254,312397,302838,1.74603717666195e-08,1.62521670291079e-08,1.634634e-08,2.6062599e-08,4.33323539075908e-08,4.06626116503756e-08,4.1046e-08,6.2841689e-08,6.38752814013158e-08,5.9862309014839e-08,6.1251587e-08,9.31706855e-08,1.06355020830986e-07,9.96850999201094e-08,1.02739284e-07,1.57286009e-07,5.056299815e-07,5.04284622009987e-07,5.077229495e-07,5.45579138e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_51",5.94360920852359
"179",179,200,"Australia",152.2725,-23.747,"2013-09-13 14:05:00","2020-01-06 13:50:00","Subtropical",1.3,2.07008910959667,332063,325189,1.43487161950176e-07,1.27225701106833e-07,1.336892575e-07,2.373007638e-07,2.54115632142857e-07,2.43455664763579e-07,2.43775031e-07,3.459172174e-07,3.08461859981707e-07,2.99523914721756e-07,3.06378647e-07,4.033311032e-07,3.70567739157895e-07,3.63594100026404e-07,3.791010725e-07,4.56673949e-07,8.00324417166667e-07,7.97269880813667e-07,8.06446575e-07,8.6529437e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_20",6.3177796803653
"180",180,201,"Australia",152.2747,-23.7452,"2013-09-13 14:06:00","2020-01-06 13:50:00","Subtropical",7,2.84011515852366,332064,322633,4.27413391005002e-08,3.72261383730141e-08,3.6919067e-08,7.39248532e-08,8.61753340972644e-08,7.99983245331963e-08,8.3539325e-08,1.304388438e-07,1.09515681219512e-07,1.03715733803601e-07,1.079780135e-07,1.569845269e-07,1.46537065039474e-07,1.41151214249955e-07,1.496036895e-07,1.95218895e-07,4.666755465e-07,4.66220970902354e-07,4.638998045e-07,4.897198435e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_20",6.31777777777778
"181",181,202,"Australia",143.8767,-9.4732,"2011-12-14 00:00:00","2020-11-03 00:00:00","Tropical",3,57.2199730094467,467571,200027,8.8735412853517e-08,6.85299967625073e-08,8.2196107e-08,1.609874502e-07,1.43891507767742e-07,1.19220058462085e-07,1.43887508e-07,2.461793658e-07,1.76970863714286e-07,1.5307553673658e-07,1.86080422e-07,2.833969444e-07,2.26968019027778e-07,2.07409268962659e-07,2.31575869e-07,3.475919635e-07,5.20058314333333e-07,5.13603703000093e-07,5.28480077e-07,5.973080378e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_49",8.8958904109589
"182",182,204,"Australia",143.8767,-9.1395,"2011-12-14 00:02:00","2020-11-03 00:00:00","Tropical",5.1,56.9199412279257,467569,201429,9.34369461958542e-08,8.31264261959151e-08,8.465592e-08,1.564931158e-07,1.6294930196129e-07,1.5236996598118e-07,1.60746239e-07,2.315441032e-07,1.98578267818182e-07,1.89406415688529e-07,1.99129378e-07,2.83564755e-07,2.41359793638889e-07,2.30790679184547e-07,2.372626645e-07,3.350296875e-07,5.17042410666667e-07,5.15690476659747e-07,5.2948321e-07,5.496992676e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_49",8.89588660578387
"183",183,205,"Australia",115.5829,-20.6295,"2010-11-16 00:07:00","2012-02-03 23:57:00","Subtropical",9,35.9593968968969,63936,40945,3.82963014163265e-08,3.30287169741459e-08,3.1933284e-08,7.14327814e-08,8.66394565555556e-08,8.53569937337306e-08,8.6766539e-08,1.014192146e-07,1.0786636175e-07,1.04355337116372e-07,9.1368755e-08,1.396549616e-07,1.635370525e-07,1.52470476180892e-07,1.635370525e-07,2.108462241e-07,NA,NA,NA,NA,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_37",1.21915905631659
"184",184,206,"Australia",114.1602,-21.8632,"2018-02-09 00:00:00","2020-02-24 00:00:00","Subtropical",3,36.7297098274625,107281,67877,1.42825036445652e-07,1.28256214369715e-07,1.32654313e-07,2.219536504e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_33",2.04109589041096
"185",185,207,"Australia",152.4503,-24.7989,"2001-08-31 00:00:00","2002-09-04 00:00:00","Subtropical",4,0.937270622776805,17711,17545,6.30387630956284e-08,4.47605982857592e-08,5.3272632e-08,1.276316135e-07,1.23282467660377e-07,1.04160138018315e-07,1.18180926e-07,2.17517053e-07,1.58490930269231e-07,1.40292392701911e-07,1.552092355e-07,2.65002258e-07,2.21923886166667e-07,2.04047520588848e-07,2.09225682e-07,3.32430224e-07,8.08976415e-07,8.08976415e-07,8.08976415e-07,8.08976415e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_20",1.01095890410959
"186",186,208,"Australia",152.4267,-24.7759,"2001-08-31 00:00:00","2002-09-04 00:00:00","Subtropical",4,1.4509117597245,17713,17456,5.5575864989011e-08,4.82144095609964e-08,5.1426928e-08,9.4743586e-08,1.20700257169811e-07,1.05705965503173e-07,1.15779697e-07,1.971123854e-07,1.56280948730769e-07,1.38948033009229e-07,1.514945725e-07,2.691112355e-07,2.24185754666667e-07,2.05202423590006e-07,2.295738595e-07,3.324945379e-07,8.30675793e-07,8.30675793e-07,8.30675793e-07,8.30675793e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_20",1.01095890410959
"187",187,210,"Australia",96.8435,-12.0969,"2006-01-11 17:30:00","2007-01-04 23:30:00","Tropical",3,0,8599,8599,6.88285631648045e-08,6.35304776618175e-08,7.16748235e-08,9.7129054e-08,1.11423172078431e-07,1.08727410621473e-07,1.14390932e-07,1.42811128e-07,1.3378056832e-07,1.31539318314361e-07,1.31826588e-07,1.68191981e-07,1.59443436333333e-07,1.58054555154409e-07,1.61633254e-07,1.864353124e-07,3.36711691e-07,3.36711691e-07,3.36711691e-07,3.36711691e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_32",0.981506849315068
"188",188,211,"Australia",96.8433,-12.0947,"2006-02-28 00:30:00","2007-01-04 23:30:00","Tropical",10,0,7464,7464,3.64178873601286e-08,3.5449281627788e-08,3.0830356e-08,6.076366e-08,7.01072092954545e-08,6.71365320089001e-08,7.16748235e-08,9.93969325e-08,8.93794605909091e-08,8.60420782689179e-08,7.81965875e-08,1.266147734e-07,1.237986482e-07,1.20217349129043e-07,1.2836024e-07,1.555587539e-07,NA,NA,NA,NA,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_32",0.851940639269406
"189",189,212,"Australia",147.9052,-19.8508,"2016-05-05 00:00:00","2019-10-13 00:00:00","Tropical",2,7.05996184999862,180865,168096,4.30901070203892e-08,3.95805190034199e-08,4.0425314e-08,6.55779278e-08,1.03156019727273e-07,9.60438752248842e-08,9.3186639e-08,1.53049948e-07,1.41235467438202e-07,1.32174978064187e-07,1.32171217e-07,2.056012326e-07,1.99764104414634e-07,1.8842531636121e-07,1.86252744e-07,2.93849508e-07,6.59459673666667e-07,6.5704325693173e-07,6.68484461e-07,7.12141725e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_51",3.44109589041096
"190",190,214,"Australia",123.5797,-12.5267,"2008-10-28 00:00:00","2010-04-12 00:00:00","Tropical",1,0.619875240299737,25489,25331,8.68437992117202e-08,7.79247188026677e-08,8.2263032e-08,1.385409674e-07,1.524809285e-07,1.43296887044707e-07,1.53486215e-07,2.161717535e-07,1.84347093763158e-07,1.73344023598494e-07,1.92446619e-07,2.639444138e-07,2.24355042529412e-07,2.14277362661358e-07,2.35004528e-07,2.897589502e-07,4.40741942e-07,4.40741942e-07,4.40741942e-07,4.40741942e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_39",1.45490867579909
"191",191,215,"Australia",123.5741,-12.5258,"2008-10-28 00:00:00","2010-04-12 00:00:00","Tropical",2,1.56145788379301,25489,25091,7.28822310332681e-08,5.85600307604553e-08,5.7639009e-08,1.40524101e-07,1.31154996815789e-07,1.13560677269928e-07,1.31912793e-07,2.16439747e-07,1.61968619815789e-07,1.42788029753823e-07,1.784025445e-07,2.547018844e-07,1.99211034529412e-07,1.82746488344913e-07,1.97097282e-07,2.836248156e-07,3.89945904e-07,3.89945904e-07,3.89945904e-07,3.89945904e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_39",1.45490867579909
"192",192,216,"Australia",123.5565,-12.5242,"2008-11-06 00:06:00","2010-04-12 15:56:00","Tropical",8.5,1.55054209183673,75264,74097,5.66825900714286e-08,4.86093716267062e-08,4.83134285e-08,9.87870228e-08,1.08155689189189e-07,9.92351184702077e-08,1.017608605e-07,1.697468142e-07,1.34868778783784e-07,1.25603250029915e-07,1.27770274e-07,1.848303442e-07,1.63045565235294e-07,1.54244672568841e-07,1.60863691e-07,2.126637852e-07,3.85295956e-07,3.85295956e-07,3.85295956e-07,3.85295956e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_39",1.43205859969559
"193",193,217,"Australia",145.5817,-14.5238,"2016-09-04 00:00:00","2018-12-11 00:00:00","Tropical",8,1.44003757349056,119233,117516,2.34949286442786e-08,1.8159801064428e-08,1.7028937e-08,4.79934009e-08,5.36319599322034e-08,4.55254294266697e-08,4.52117945e-08,1.089678464e-07,7.66035544745763e-08,6.70604919810873e-08,7.1637527e-08,1.25284901e-07,1.08421505481481e-07,1.00194429390573e-07,1.09444501e-07,1.62396671e-07,3.96676772e-07,3.96533346331068e-07,3.96676772e-07,4.052096896e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_35",2.26849315068493
"194",194,218,"Australia",146.482,-18.5691,"1993-02-12 00:00:00","1995-09-15 00:00:00","Tropical",0,40.1909128987456,45361,27130,1.14339385431776e-07,1.01126378567781e-07,1.00157278e-07,1.91746805e-07,2.11677772321429e-07,1.96012597715861e-07,1.952733705e-07,2.783529844e-07,2.65226768071429e-07,2.47540415542572e-07,2.393663005e-07,3.6147069e-07,3.43506169857143e-07,3.28107629920776e-07,2.94806371e-07,4.639380348e-07,NA,NA,NA,NA,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_51",2.58904109589041
"195",195,219,"Australia",146.4833,-18.5719,"1993-02-12 00:00:00","2009-06-18 14:00:00","Tropical",4,8.16011779935727,286589,263203,1.08889457779508e-07,9.70451379437162e-08,9.9653341e-08,1.751480528e-07,1.93695186209268e-07,1.82299673958208e-07,1.80307824e-07,2.800628766e-07,2.44965661250746e-07,2.33393929429369e-07,2.29202768e-07,3.42036911e-07,3.17636934962025e-07,3.0724290460358e-07,3.11602496e-07,4.126440117e-07,7.4976853e-07,7.47577944408927e-07,7.381295715e-07,8.324674195e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_51",16.3577625570776
"196",196,220,"Australia",146.4817,-18.5783,"1993-02-12 00:00:00","1995-09-15 00:00:00","Tropical",0,23.8707259540134,45361,34533,1.20544827543914e-07,1.00379223863862e-07,1.02145217e-07,2.189946428e-07,2.35101682846154e-07,2.13793375001933e-07,2.20477858e-07,3.396973548e-07,3.09643950857143e-07,2.95456395917248e-07,2.82430271e-07,4.42310835e-07,3.933949229e-07,3.79296818822263e-07,3.553982845e-07,5.490293218e-07,8.44782748e-07,8.44782748e-07,8.44782748e-07,8.44782748e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_51",2.58904109589041
"197",197,221,"Australia",146.4823,-18.5691,"2008-08-03 14:00:00","2009-06-17 13:30:00","Tropical",3,0.773060796645702,15264,15146,4.71209990798722e-08,4.0783161531486e-08,4.0932992e-08,7.92282208e-08,9.53710086444444e-08,8.723383574876e-08,8.4709529e-08,1.4085298e-07,1.21643037181818e-07,1.13152575133066e-07,1.153532255e-07,1.865567091e-07,1.758359646e-07,1.66349096295738e-07,1.75628532e-07,2.185848172e-07,NA,NA,NA,NA,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_51",0.871175799086758
"198",198,222,"Australia",146.483,-18.5718,"1993-03-30 14:30:00","2009-06-18 14:00:00","Tropical",7,29.1800303848751,284352,201378,3.67845224063178e-08,3.08445280608622e-08,3.0034067e-08,6.47053134e-08,7.84251746043956e-08,6.7335576898036e-08,6.5424768e-08,1.08614126e-07,1.11337361782609e-07,9.57171084734398e-08,9.17647295e-08,1.507775075e-07,1.70977446590909e-07,1.43837522740557e-07,1.33246109e-07,2.248928823e-07,5.74915798e-07,5.57025385071602e-07,5.74915798e-07,6.8876031e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_51",16.2300799086758
"199",199,224,"Australia",145.3115,-14.9522,"1998-05-14 00:00:00","2008-05-03 13:30:00","Tropical",0,10.8599665987966,174844,155856,5.94086521290424e-08,4.8826700188027e-08,4.651935e-08,1.081329218e-07,1.37218279709924e-07,1.17683511669045e-07,1.12292707e-07,2.652903894e-07,1.91017036370558e-07,1.67888709689536e-07,1.71126853e-07,3.195423018e-07,2.61548006347826e-07,2.37263460407819e-07,2.386747165e-07,4.121687677e-07,7.59448290571429e-07,7.56209766790771e-07,7.39307004e-07,8.433100158e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_35",9.97962328767123
"200",200,226,"Australia",142.2799,-10.6893,"2013-12-10 14:00:00","2017-12-03 23:56:00","Tropical",1.3,36.729899683437,209437,132511,1.17883835248128e-07,1.0734765577716e-07,1.06630736e-07,1.893182652e-07,2.00802506095238e-07,1.915365325473e-07,1.84600759e-07,3.086651326e-07,2.54167144e-07,2.46837394071504e-07,2.45944219e-07,3.37701835e-07,3.28651546357143e-07,3.2285861004422e-07,3.109497275e-07,3.949977455e-07,7.45294781e-07,7.45294781000001e-07,7.45294781e-07,7.45294781e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_47",3.98469558599696
"201",201,227,"Australia",147.7199,-18.6534,"2009-04-30 14:08:00","2017-05-10 13:50:00","Tropical",3,26.7300632386727,422210,309353,5.54707710213675e-08,4.51756937432077e-08,4.43969835e-08,1.065721056e-07,1.10354007367816e-07,1.03308044241898e-07,1.07985878e-07,1.626557716e-07,1.38659460953488e-07,1.3295991680393e-07,1.34231976e-07,1.975874732e-07,1.892736696e-07,1.82801912193292e-07,1.755985735e-07,2.545024898e-07,5.99154892e-07,5.99019088496108e-07,5.99154892e-07,6.093597136e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_51",8.03284246575343
"202",202,228,"Australia",152.664,-21.9973,"2013-09-20 00:04:00","2020-09-01 00:00:00","Subtropical",2.5,6.94004755481253,365473,340109,6.62389409007561e-08,5.58957478544208e-08,5.5475882e-08,1.242105525e-07,1.2545977625e-07,1.15245312949349e-07,1.20861577e-07,1.88123264e-07,1.62581853798883e-07,1.53995388090522e-07,1.58210815e-07,2.285211508e-07,2.0584961360241e-07,1.99664682595683e-07,2.01008736e-07,2.840864378e-07,5.79069567285714e-07,5.76027933791022e-07,5.99176527e-07,6.288042426e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_22",6.95341704718417
"203",203,229,"Australia",152.6686,-21.9979,"2015-02-01 00:00:00","2020-08-26 23:50:00","Subtropical",10,3.47015001809504,292898,282734,1.55726426862033e-08,1.41910924623296e-08,1.3877263e-08,2.47863605e-08,3.48719054878893e-08,3.25112802407301e-08,3.2319404e-08,5.41586438e-08,5.09525179724138e-08,4.76874654425636e-08,4.8177168e-08,7.405288e-08,8.26435339104478e-08,7.76285484375786e-08,8.0066561e-08,1.162198898e-07,3.777566244e-07,3.77446640065073e-07,3.76362798e-07,3.955284806e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_22",5.57258371385084
"204",204,230,"Australia",147.7217,-18.6521,"2009-04-30 14:18:00","2021-03-20 00:00:00","Tropical",9,37.88007965897,625165,388352,2.27710094458841e-08,1.93777088273896e-08,1.8616635e-08,3.74383017e-08,5.57588775316456e-08,5.19803088734408e-08,5.0778362e-08,8.24544438e-08,7.57435812051282e-08,7.16832030608611e-08,7.0711447e-08,1.1477103e-07,1.11325371684211e-07,1.05296033928925e-07,9.7347765e-08,1.490141984e-07,4.04362387e-07,4.04362387e-07,4.04362387e-07,4.04362387e-07,NA,"The Australian Institute of Marine Scien","The Australian Institute of Marine Scien","spatial_block_51",11.8942579908676
